timestamp,price,open,high,low,volume,Change %
12/01/2023,39589,37723,39678,37626,5.29K,4.95%
11/01/2023,37723,34669,38410,34114,43.81K,8.81%
10/01/2023,34669,26980,35175,26562,52.27K,28.50%
09/01/2023,26980,25967,27506,24927,37.45K,3.90%
08/01/2023,25967,29273,30235,24863,33.11K,-11.29%
07/01/2023,29273,30500,31814,28931,31.06K,-4.02%
06/01/2023,30500,27220,31415,24853,35.17K,12.05%
05/01/2023,27220,29255,29836,25884,29.99K,-6.96%
04/01/2023,29255,28460,30968,26998,44.60K,2.79%
03/01/2023,28460,23134,29170,19592,96.49K,23.02%
02/01/2023,23134,23135,25232,21404,58.02K,0.00%
01/01/2023,23135,16564,23962,16517,67.59K,39.67%
12/01/2022,16564,17182,18373,16320,44.60K,-3.60%
11/01/2022,17182,20509,21470,15501,127.45K,-16.22%
10/01/2022,20509,19430,21074,18200,100.51K,5.55%
09/01/2022,19430,20058,22746,18214,302.66K,-3.13%
08/01/2022,20058,23294,25203,19540,145.16K,-13.89%
07/01/2022,23294,19938,24641,18774,167.25K,16.83%
06/01/2022,19938,31792,31974,17611,238.61K,-37.29%
05/01/2022,31792,37662,39996,26600,218.80K,-15.59%
04/01/2022,37662,45535,47414,37633,106.58K,-17.29%
03/01/2022,45535,43202,48159,37198,142.89K,5.40%
02/01/2022,43202,38495,45851,34435,149.12K,12.14%
01/01/2022,38526,46218,47980,32981,190.49K,-16.64%
12/01/2021,46218,56938,59055,42101,170.53K,-18.83%
11/01/2021,56938,61330,68925,53482,169.14K,-7.16%
10/01/2021,61330,43830,66927,43311,182.94K,39.93%
09/01/2021,43830,47157,52888,39678,177.13K,-7.06%
08/01/2021,47157,41409,50506.3,37361,174.28K,13.88%
07/01/2021,41409,35043.5,42317,29341,217.92K,18.16%
06/01/2021,35043.5,37305,40732,29927,352.27K,-6.06%
05/01/2021,37305,57634.7,59454.3,32623,430.70K,-35.28%
04/01/2021,57637,58796,64374,48409.8,251.62K,-1.97%
03/01/2021,58796,45300,61468,45300,267.80K,29.79%
02/01/2021,45300,33141,58238,32595,321.22K,36.69%
01/01/2021,33141,28933,41616,28932,479.93K,14.54%
12/01/2020,28933,19695,29133,17764,293.56K,46.97%
11/01/2020,19686,13788,19723,13401,284.29K,42.78%
10/01/2020,13788,10795,13958,10476,125.27K,27.74%
09/01/2020,10794,11671,12037,9964.1,128.34K,-7.51%
08/01/2020,11671,11350,12415,11032,146.79K,2.83%
07/01/2020,11350,9150.6,11378,8950.2,117.37K,24.04%
06/01/2020,9150.6,9452.1,10390,8857.3,148.73K,-3.19%
05/01/2020,9452.1,8630.8,10045,8107.4,277.15K,9.46%
04/01/2020,8635.3,6429,9438.8,6180,311.03K,34.35%
03/01/2020,6427.7,8561.5,9231.1,4001,653.74K,-24.89%
02/01/2020,8557.3,9371.3,10489,8455.2,220.57K,-8.65%
01/01/2020,9367.4,7208.2,9550,6909.3,196.26K,29.95%
